second,bot,staleness_ms_p50,staleness_ms_p95,staleness_ms_max,recv_rate,send_rate
323,botA,0.259,1.604,1.757,36,36
323,botB,0.272,0.442,0.494,36,36
324,botA,0.214,0.321,0.343,36,36
324,botB,0.264,1.498,1.676,36,36
325,botA,0.213,0.612,1.457,36,36
325,botB,0.256,0.62,1.486,36,36
326,botA,0.226,0.28,0.306,36,36
326,botB,0.26,1.575,1.898,36,36
327,botA,0.284,0.765,1.643,36,36
327,botB,0.347,0.912,1.812,36,36
328,botA,0.258,0.812,1.648,36,36
328,botB,0.338,0.83,1.479,36,36
329,botA,0.255,0.727,1.708,36,36
329,botB,0.29,0.735,1.663,36,36
330,botA,0.225,0.347,0.372,36,36
330,botB,0.306,1.543,1.747,36,36
331,botA,0.246,1.526,1.61,36,36
331,botB,0.27,0.356,0.382,36,36
332,botA,0.279,0.751,1.832,36,36
332,botB,0.299,0.718,1.74,36,36
333,botA,0.243,0.686,1.513,36,36
333,botB,0.302,0.848,1.77,36,36
334,botA,0.26,1.563,1.574,36,36
334,botB,0.307,0.52,0.58,36,36
335,botA,0.21,0.294,0.318,36,36
335,botB,0.258,1.51,1.789,36,36
336,botA,0.266,1.516,1.598,36,36
336,botB,0.274,0.38,0.441,36,36
337,botA,0.271,0.779,1.872,36,36
337,botB,0.289,0.742,1.533,36,36
338,botA,0.258,0.715,1.347,36,36
338,botB,0.277,0.907,1.818,36,36
339,botA,0.197,0.279,0.296,36,36
339,botB,0.278,0.852,1.484,36,36
340,botA,0.251,1.522,1.674,36,36
340,botB,0.299,0.419,0.443,36,36
341,botA,0.251,0.652,1.608,36,36
341,botB,0.287,0.766,1.479,36,36
342,botA,0.225,0.624,1.413,36,36
342,botB,0.258,0.742,1.437,36,36
343,botA,0.273,1.664,1.72,36,36
343,botB,0.301,0.531,0.558,36,36
344,botA,0.197,0.321,0.362,36,36
344,botB,0.262,1.563,1.69,34,36
345,botA,0.27,1.427,1.692,36,36
345,botB,0.32,0.4,0.466,38,36
346,botA,0.251,0.679,1.673,36,36
346,botB,0.272,0.684,1.6,36,36
347,botA,0.24,1.308,1.491,36,36
347,botB,0.292,0.796,1.489,36,36
348,botA,0.29,0.912,1.733,36,36
348,botB,0.342,0.862,1.782,36,36
349,botA,0.327,0.783,1.645,36,36
349,botB,0.383,0.856,1.741,36,36
350,botA,0.222,0.355,0.371,36,36
350,botB,0.277,1.55,1.557,36,36
351,botA,0.262,1.374,1.697,36,36
351,botB,0.303,0.549,0.572,36,36
352,botA,0.241,0.871,1.784,36,36
352,botB,0.265,0.737,1.704,36,36
353,botA,0.303,0.732,1.442,36,36
353,botB,0.298,1.005,1.575,36,36
354,botA,0.292,1.576,1.851,36,36
354,botB,0.293,0.392,0.4,36,36
355,botA,0.237,0.357,0.391,36,36
355,botB,0.253,1.445,1.614,36,36
356,botA,0.282,1.596,1.855,36,36
356,botB,0.329,0.423,0.457,36,36
357,botA,0.234,0.376,0.435,36,36
357,botB,0.311,0.683,1.412,36,36
358,botA,0.331,1.518,1.617,36,36
358,botB,0.395,0.482,0.546,36,36
359,botA,0.209,0.596,1.585,36,36
359,botB,0.269,0.589,1.462,36,36
360,botA,0.242,1.546,1.74,36,36
360,botB,0.26,0.334,0.344,34,36
361,botA,0.296,1.007,1.698,36,36
361,botB,0.254,0.696,1.837,38,36
362,botA,0.247,0.659,1.512,36,36
362,botB,0.245,0.666,1.705,36,36
363,botA,0.22,0.768,1.607,36,36
363,botB,0.257,0.786,1.468,36,36
364,botA,0.235,0.59,1.336,36,36
364,botB,0.257,0.79,1.87,36,36
365,botA,0.22,1.515,1.647,36,36
365,botB,0.239,0.36,0.531,36,36
366,botA,0.239,0.299,0.306,36,36
366,botB,0.346,1.525,1.567,36,36
367,botA,0.283,1.622,1.775,36,36
367,botB,0.293,0.586,0.765,36,36
368,botA,0.23,0.503,0.862,36,36
368,botB,0.249,1.488,1.633,36,36
369,botA,0.228,1.546,1.571,36,36
369,botB,0.241,0.322,0.337,36,36
370,botA,0.25,0.703,1.473,36,36
370,botB,0.271,0.794,1.667,36,36
371,botA,0.236,0.323,0.344,36,36
371,botB,0.281,1.498,1.58,36,36
372,botA,0.236,1.799,1.913,36,36
372,botB,0.256,0.3,0.334,36,36
373,botA,0.237,0.292,0.311,36,36
373,botB,0.258,1.435,1.636,36,36
374,botA,0.243,0.733,1.898,36,36
374,botB,0.259,0.734,1.699,36,36
375,botA,0.244,0.591,0.978,36,36
375,botB,0.311,0.958,1.675,36,36
376,botA,0.26,0.864,1.448,36,36
376,botB,0.326,1.598,1.657,36,36
377,botA,0.257,1.452,1.485,36,34
377,botB,0.269,0.439,0.464,34,36
378,botA,0.255,0.3,0.327,36,38
378,botB,0.29,1.623,1.655,38,36
379,botA,0.243,0.587,1.463,36,36
379,botB,0.246,0.69,1.575,36,36
380,botA,0.223,0.659,1.601,36,36
380,botB,0.315,0.937,1.786,36,36
381,botA,0.232,0.668,1.711,36,36
381,botB,0.288,0.746,1.455,36,36
382,botA,0.324,0.632,0.853,36,36
382,botB,0.335,1.991,2.17,36,36
383,botA,0.352,1.803,1.833,36,36
383,botB,0.388,0.559,0.566,36,36
384,botA,0.252,0.385,0.434,36,36
384,botB,0.314,1.551,1.692,36,36
385,botA,0.255,0.734,1.6,36,36
385,botB,0.265,0.833,1.569,36,36
386,botA,0.304,1.494,1.591,36,36
386,botB,0.367,0.543,0.666,36,36
387,botA,0.215,0.4,0.408,36,36
387,botB,0.282,1.539,1.58,36,36
388,botA,0.259,1.486,1.57,36,36
388,botB,0.28,0.38,0.425,36,36
389,botA,0.322,0.99,1.57,36,36
389,botB,0.364,0.891,1.858,36,36
390,botA,0.279,0.663,1.524,36,36
390,botB,0.323,0.839,2.256,36,36
391,botA,0.273,0.508,0.6,36,36
391,botB,0.295,0.946,1.688,34,36
392,botA,0.26,0.716,1.863,36,36
392,botB,0.282,0.648,1.795,38,36
393,botA,0.223,0.816,1.703,36,36
393,botB,0.269,0.734,1.419,36,36
394,botA,0.253,0.68,1.638,36,36
394,botB,0.282,0.886,1.676,36,36
395,botA,0.264,1.435,1.521,36,36
395,botB,0.283,0.415,0.426,36,36
396,botA,0.24,0.938,1.668,36,36
396,botB,0.255,0.715,1.965,36,36
397,botA,0.232,0.695,1.686,36,36
397,botB,0.282,0.69,1.416,36,36
398,botA,0.266,0.661,1.48,36,36
398,botB,0.284,0.746,1.909,36,36
399,botA,0.218,0.626,1.318,36,36
399,botB,0.257,0.787,1.442,36,36
400,botA,0.248,0.792,1.8,36,36
400,botB,0.281,0.816,1.574,36,36
401,botA,0.264,0.775,1.835,36,36
401,botB,0.305,0.938,1.972,36,36
402,botA,0.321,0.548,0.843,36,36
402,botB,0.308,1.803,1.849,36,36
403,botA,0.279,1.013,1.676,36,36
403,botB,0.306,0.931,1.571,34,36
404,botA,0.287,0.809,1.476,36,36
404,botB,0.315,0.619,1.699,38,36
405,botA,0.257,1.657,1.814,36,36
405,botB,0.263,0.513,0.524,36,36
406,botA,0.231,0.419,0.496,36,36
406,botB,0.274,0.82,1.682,36,36
407,botA,0.37,2.379,4.942,36,36
407,botB,0.383,0.686,0.727,36,36
408,botA,0.273,0.694,1.598,36,36
408,botB,0.304,0.808,1.841,36,36
409,botA,0.298,0.762,1.642,36,36
409,botB,0.353,0.734,1.578,36,36
410,botA,0.229,0.568,1.413,36,36
410,botB,0.259,0.666,1.675,36,36
411,botA,0.208,1.657,1.814,36,36
411,botB,0.271,0.382,0.551,36,36
412,botA,0.259,0.406,0.536,36,36
412,botB,0.327,1.448,1.492,36,36
413,botA,0.271,1.512,1.673,36,36
413,botB,0.305,0.656,0.851,34,36
414,botA,0.269,0.771,1.441,36,36
414,botB,0.327,0.763,1.747,38,36
415,botA,0.241,1.66,1.814,36,36
415,botB,0.29,0.439,0.449,36,36
416,botA,0.221,0.661,1.552,36,36
416,botB,0.258,0.89,2.168,36,36
417,botA,0.199,0.625,1.502,36,36
417,botB,0.271,0.703,1.422,36,36
418,botA,0.279,1.012,2.456,36,36
418,botB,0.362,0.849,1.544,36,36
419,botA,0.253,0.672,1.39,36,36
419,botB,0.294,0.855,1.978,36,36
420,botA,0.255,0.73,1.718,36,36
420,botB,0.306,0.719,1.572,36,36
421,botA,0.238,0.651,1.466,36,36
421,botB,0.268,0.66,1.544,36,36
422,botA,0.231,1.356,1.47,36,36
422,botB,0.251,0.397,0.454,36,36
423,botA,0.248,0.85,1.927,36,36
423,botB,0.295,0.765,1.682,36,36
424,botA,0.215,0.353,0.375,36,36
424,botB,0.272,0.776,1.51,34,36
425,botA,0.21,0.679,1.67,36,36
425,botB,0.274,0.559,1.403,38,36
426,botA,0.277,0.753,1.671,36,36
426,botB,0.308,0.902,1.802,36,36
427,botA,0.298,1.587,2.082,36,36
427,botB,0.326,0.572,0.578,36,36
428,botA,0.229,0.707,1.435,36,36
428,botB,0.256,0.706,1.55,36,36
429,botA,0.261,0.647,1.517,36,36
429,botB,0.336,0.854,1.693,36,36
430,botA,0.303,0.681,1.45,36,36
430,botB,0.303,0.952,2.01,36,36
431,botA,0.27,0.443,0.45,36,34
431,botB,0.363,1.513,1.729,34,36
432,botA,0.365,0.862,1.733,36,38
432,botB,0.359,0.726,1.86,38,36
433,botA,0.268,1.674,1.717,36,36
433,botB,0.36,0.502,0.562,36,36
434,botA,0.3,0.755,1.493,36,36
434,botB,0.372,1.015,1.672,36,36
435,botA,0.246,0.346,0.43,36,36
435,botB,0.275,1.719,1.75,36,36
436,botA,0.233,1.413,1.585,36,36
436,botB,0.279,0.398,0.493,36,36
437,botA,0.242,0.48,0.614,36,36
437,botB,0.286,1.431,1.577,36,36
438,botA,0.329,0.916,1.71,36,36
438,botB,0.369,0.782,0.959,34,36
439,botA,0.333,0.753,1.633,36,36
439,botB,0.382,0.755,1.833,38,36
440,botA,0.23,0.468,0.665,36,34
440,botB,0.279,1.469,1.553,34,36
441,botA,0.225,1.606,1.71,36,38
441,botB,0.272,0.344,0.361,38,36
442,botA,0.234,0.619,1.546,36,36
442,botB,0.278,0.711,1.702,36,36
443,botA,0.2,0.275,0.324,36,36
443,botB,0.22,1.624,1.789,36,36
444,botA,0.241,0.676,1.701,36,36
444,botB,0.275,0.612,1.488,36,36
445,botA,0.224,0.391,0.415,36,36
445,botB,0.266,1.487,1.589,35,36
446,botA,0.242,1.428,1.457,36,36
446,botB,0.27,0.411,0.421,37,36
447,botA,0.315,0.856,1.674,36,36
447,botB,0.427,0.944,1.744,36,36
448,botA,0.213,0.473,0.585,36,36
448,botB,0.271,1.505,1.662,36,36
449,botA,0.341,0.953,1.581,36,36
449,botB,0.359,0.907,1.704,36,36
450,botA,0.225,0.629,1.431,36,34
450,botB,0.257,0.704,1.4,34,36
451,botA,0.285,0.685,1.455,36,38
451,botB,0.291,0.673,1.691,38,36
452,botA,0.201,0.733,1.614,36,36
452,botB,0.225,0.93,1.701,34,36
453,botA,0.202,0.663,1.62,36,36
453,botB,0.243,0.515,1.474,38,36
454,botA,0.253,1.553,1.599,36,36
454,botB,0.264,0.389,0.401,36,36
455,botA,0.25,0.472,0.598,36,36
455,botB,0.305,0.89,1.717,36,36
456,botA,0.316,0.779,1.659,36,36
456,botB,0.335,0.807,1.808,36,36
457,botA,0.271,0.906,1.665,36,36
457,botB,0.44,0.994,1.44,36,36
458,botA,0.257,1.569,1.695,36,36
458,botB,0.292,0.453,0.473,36,36
459,botA,0.25,0.729,1.622,36,36
459,botB,0.309,0.764,1.494,36,36
460,botA,0.267,0.654,1.522,36,34
460,botB,0.259,0.891,1.82,34,36
461,botA,0.262,0.7,1.572,36,38
461,botB,0.352,0.664,1.543,38,36
462,botA,0.213,1.399,1.443,36,36
462,botB,0.282,0.575,0.591,36,36
463,botA,0.271,0.79,1.644,36,36
463,botB,0.304,0.784,1.523,36,36
464,botA,0.268,0.78,1.754,36,36
464,botB,0.382,0.878,1.561,34,36
465,botA,0.258,0.833,1.758,36,36
465,botB,0.321,0.651,1.51,38,36
466,botA,0.272,0.759,1.518,36,36
466,botB,0.352,0.789,1.702,36,36
467,botA,0.26,1.516,1.539,36,36
467,botB,0.26,0.352,0.421,36,36
468,botA,0.271,0.757,1.676,36,36
468,botB,0.303,0.806,1.736,36,36
469,botA,0.283,0.445,0.664,36,36
469,botB,0.387,1.141,1.711,34,36
470,botA,0.268,0.79,1.635,36,36
470,botB,0.331,0.767,1.84,38,36
471,botA,0.297,0.72,1.425,36,36
471,botB,0.349,1.008,1.514,36,36
472,botA,0.249,0.72,1.52,36,36
472,botB,0.287,0.913,1.66,36,36
473,botA,0.249,0.364,0.384,36,36
473,botB,0.281,1.664,1.867,36,36
474,botA,0.277,0.936,1.55,36,36
474,botB,0.293,0.803,1.727,36,36
475,botA,0.22,0.781,1.569,36,36
475,botB,0.266,0.733,1.545,36,36
476,botA,0.233,0.638,1.601,36,36
476,botB,0.27,0.754,1.729,36,36
477,botA,0.363,1.644,1.795,36,36
477,botB,0.451,0.611,0.692,34,36
478,botA,0.299,0.745,1.698,36,36
478,botB,0.348,0.879,1.555,38,36
479,botA,0.228,1.393,1.551,36,36
479,botB,0.275,0.41,0.541,36,36
480,botA,0.301,1.615,1.634,36,36
480,botB,0.388,0.669,0.816,36,36
481,botA,0.271,1.078,1.604,36,36
481,botB,0.366,0.876,1.791,36,36
482,botA,0.214,0.32,0.369,36,36
482,botB,0.273,1.68,1.78,36,36
483,botA,0.27,1.518,1.8,36,36
483,botB,0.292,0.41,0.432,36,36
484,botA,0.192,0.296,0.351,36,36
484,botB,0.268,1.505,1.738,36,36
485,botA,0.204,0.585,1.477,36,36
485,botB,0.264,0.581,1.424,36,36
486,botA,0.275,0.65,1.613,36,36
486,botB,0.316,0.734,1.514,36,36
487,botA,0.275,0.974,1.68,36,36
487,botB,0.303,0.76,1.054,36,36
488,botA,0.234,0.555,1.019,36,36
488,botB,0.227,1.614,1.689,36,36
489,botA,0.255,0.642,1.436,36,36
489,botB,0.272,0.735,1.785,36,36
490,botA,0.227,1.486,1.625,36,36
490,botB,0.26,0.323,0.393,36,36
491,botA,0.244,0.44,0.589,36,36
491,botB,0.287,1.521,1.617,36,36
492,botA,0.274,0.917,1.866,36,36
492,botB,0.315,0.732,1.401,36,36
493,botA,0.232,0.627,1.602,36,36
493,botB,0.252,0.771,1.645,34,36
494,botA,0.214,0.783,1.413,36,36
494,botB,0.273,0.893,1.764,38,36
495,botA,0.299,0.991,1.797,36,36
495,botB,0.374,0.904,2.247,36,36
496,botA,0.351,0.713,1.445,36,36
496,botB,0.351,0.827,1.609,36,36
497,botA,0.247,0.698,1.484,36,36
497,botB,0.285,0.817,1.792,36,36
498,botA,0.242,0.716,1.502,36,36
498,botB,0.351,0.889,1.637,36,36
499,botA,0.296,0.539,0.567,36,36
499,botB,0.355,0.979,1.823,34,36
500,botA,0.268,0.767,1.661,36,36
500,botB,0.298,0.778,1.716,38,36
501,botA,0.248,0.81,1.479,36,36
501,botB,0.277,0.746,1.386,36,36
502,botA,0.293,1.713,1.888,36,36
502,botB,0.339,0.704,0.731,36,36
503,botA,0.299,1.005,2.258,36,36
503,botB,0.355,1.103,1.677,36,36
504,botA,0.244,0.605,1.467,36,36
504,botB,0.275,0.698,1.506,36,36
505,botA,0.267,0.71,1.664,36,36
505,botB,0.304,0.893,1.693,36,36
506,botA,0.322,1.635,1.644,36,36
506,botB,0.32,0.596,0.62,36,36
507,botA,0.274,0.733,1.625,36,36
507,botB,0.254,1.231,1.751,36,36
508,botA,0.192,1.43,1.445,36,36
508,botB,0.253,0.324,0.327,36,36
509,botA,0.244,0.873,1.559,36,36
509,botB,0.275,0.735,1.532,36,36
510,botA,0.248,0.797,1.767,36,36
510,botB,0.29,0.766,1.815,36,36
511,botA,0.343,1.773,1.823,36,36
511,botB,0.391,0.678,0.925,36,36
512,botA,0.221,0.707,1.434,36,36
512,botB,0.303,0.842,1.667,34,36
513,botA,0.216,0.691,1.34,36,36
513,botB,0.242,0.577,1.379,38,36
514,botA,0.249,1.495,1.712,36,36
514,botB,0.296,0.451,0.533,36,36
515,botA,0.299,0.523,0.537,36,36
515,botB,0.359,0.92,1.841,36,36
516,botA,0.268,0.929,1.585,36,36
516,botB,0.285,0.829,1.687,36,36
517,botA,0.213,1.405,1.44,36,34
517,botB,0.224,0.299,0.305,34,36
518,botA,0.232,0.687,1.399,36,38
518,botB,0.258,0.545,1.703,38,36
519,botA,0.234,0.697,1.524,36,36
519,botB,0.286,0.863,1.859,36,36
520,botA,0.245,0.368,0.371,36,36
520,botB,0.285,1.52,1.612,36,36
521,botA,0.222,0.666,1.652,36,36
521,botB,0.266,0.72,1.467,36,36
522,botA,0.262,1.616,1.651,36,36
522,botB,0.274,0.577,0.717,36,36
523,botA,0.287,0.89,1.568,36,36
523,botB,0.34,1.075,1.887,36,36
524,botA,0.268,0.446,0.487,36,36
524,botB,0.303,1.655,1.691,36,36
525,botA,0.37,0.856,1.733,36,36
525,botB,0.369,0.929,1.791,36,36
526,botA,0.349,0.566,0.597,36,36
526,botB,0.451,1.79,2.263,36,36
527,botA,0.302,0.872,1.419,36,36
527,botB,0.345,0.703,1.426,36,36
528,botA,0.229,1.496,1.577,36,36
528,botB,0.304,0.374,0.39,36,36
529,botA,0.26,0.632,1.406,36,36
529,botB,0.355,0.902,1.625,36,36
530,botA,0.244,1.552,1.572,36,36
530,botB,0.255,0.355,0.395,36,36
531,botA,0.231,0.369,0.373,36,36
531,botB,0.269,0.851,1.619,34,36
532,botA,0.254,0.671,1.496,36,36
532,botB,0.276,0.62,1.617,38,36
533,botA,0.252,1.422,1.569,36,36
533,botB,0.278,0.413,0.51,36,36
534,botA,0.205,0.301,0.395,36,36
534,botB,0.235,1.528,1.695,36,36
535,botA,0.281,1.567,1.579,36,36
535,botB,0.297,0.58,0.617,36,36
536,botA,0.269,0.658,1.331,36,36
536,botB,0.313,0.872,1.928,36,36
537,botA,0.288,0.705,1.549,36,36
537,botB,0.359,0.926,1.572,36,36
538,botA,0.334,0.905,1.854,36,36
538,botB,0.357,0.835,1.544,36,36
539,botA,0.333,0.949,1.692,36,36
539,botB,0.392,0.902,1.735,36,36
540,botA,0.213,0.938,1.46,36,36
540,botB,0.28,0.975,1.837,36,36
541,botA,0.326,0.815,1.471,36,36
541,botB,0.374,0.824,1.497,36,36
542,botA,0.332,1.474,1.521,36,36
542,botB,0.346,0.692,0.799,36,36
543,botA,0.239,0.361,0.414,36,36
543,botB,0.294,1.677,1.78,36,36
544,botA,0.258,1.507,1.714,36,36
544,botB,0.259,0.378,0.383,36,36
545,botA,0.257,0.38,0.391,36,36
545,botB,0.276,0.806,1.526,34,36
546,botA,0.268,0.81,1.493,36,36
546,botB,0.273,0.584,1.562,38,36
547,botA,0.232,1.623,1.903,36,36
547,botB,0.263,0.391,0.456,36,36
548,botA,0.232,0.427,0.543,36,35
548,botB,0.273,1.456,1.616,34,36
549,botA,0.199,1.699,1.902,36,37
549,botB,0.258,0.403,0.487,38,36
550,botA,0.225,1.353,1.367,36,36
550,botB,0.227,0.362,0.374,36,36
551,botA,0.222,0.318,0.365,36,36
551,botB,0.305,1.649,1.745,36,36
552,botA,0.278,1.59,1.643,36,36
552,botB,0.344,0.436,0.502,36,36
553,botA,0.213,0.668,1.378,36,36
553,botB,0.263,0.653,1.495,36,36
554,botA,0.221,0.72,1.582,36,36
554,botB,0.283,0.819,1.725,36,36
555,botA,0.253,0.656,1.474,36,36
555,botB,0.291,0.952,1.886,36,36
556,botA,0.23,0.31,0.367,36,36
556,botB,0.271,1.783,1.801,36,36
557,botA,0.266,1.593,1.622,36,36
557,botB,0.298,0.438,0.484,36,36
558,botA,0.225,0.377,0.454,36,36
558,botB,0.296,1.451,1.536,36,36
559,botA,0.278,1.5,1.606,36,36
559,botB,0.265,0.446,0.506,36,36
560,botA,0.297,0.653,1.403,36,36
560,botB,0.302,0.88,1.772,36,36
561,botA,0.225,0.608,1.469,36,36
561,botB,0.269,0.614,1.497,36,36
562,botA,0.279,0.616,1.39,36,36
562,botB,0.313,0.751,1.453,36,36
563,botA,0.292,0.519,0.553,36,36
563,botB,0.316,1.037,1.84,34,36
564,botA,0.246,0.694,1.508,36,34
564,botB,0.349,0.89,1.599,36,36
565,botA,0.295,0.682,1.461,36,38
565,botB,0.398,1.058,1.922,38,36
566,botA,0.306,0.836,1.549,36,36
566,botB,0.408,1.056,1.743,36,36
567,botA,0.229,0.657,1.4,36,36
567,botB,0.28,0.817,1.76,36,36
568,botA,0.244,1.599,1.792,36,36
568,botB,0.29,0.356,0.376,36,36
569,botA,0.324,0.793,1.677,36,36
569,botB,0.376,0.8,1.525,36,36
570,botA,0.267,0.39,0.422,36,36
570,botB,0.429,1.608,1.887,36,36
571,botA,0.253,0.689,1.393,36,36
571,botB,0.282,0.698,1.618,36,36
572,botA,0.243,1.802,1.836,36,36
572,botB,0.255,0.351,0.361,34,36
573,botA,0.218,0.553,1.376,36,36
573,botB,0.215,0.487,1.482,38,36
574,botA,0.273,0.393,0.462,36,36
574,botB,0.31,1.397,1.6,36,36
575,botA,0.362,0.843,1.706,36,36
575,botB,0.4,0.96,1.751,36,36
576,botA,0.366,0.854,1.629,36,36
576,botB,0.379,0.996,1.815,36,36
577,botA,0.279,0.416,0.436,36,36
577,botB,0.313,1.549,1.603,36,36
578,botA,0.267,1.09,1.623,36,36
578,botB,0.331,1.021,1.623,36,36
579,botA,0.251,0.319,0.35,36,36
579,botB,0.259,0.762,1.471,34,36
580,botA,0.226,0.662,1.727,36,36
580,botB,0.255,0.497,1.628,38,36
581,botA,0.267,1.701,1.755,36,36
581,botB,0.289,0.382,0.393,36,36
582,botA,0.319,0.511,0.522,36,36
582,botB,0.342,1.522,1.66,36,36
583,botA,0.279,1.52,1.669,36,36
583,botB,0.311,0.496,0.5,36,36
584,botA,0.256,0.765,1.568,36,36
584,botB,0.305,0.81,1.735,36,36
585,botA,0.263,0.694,1.377,36,36
585,botB,0.293,0.881,1.593,36,36
586,botA,0.216,0.67,1.617,36,36
586,botB,0.252,0.824,1.508,36,36
587,botA,0.302,1.513,1.53,36,36
587,botB,0.295,0.796,1.838,36,36
588,botA,0.243,0.468,0.693,36,36
588,botB,0.28,1.585,1.711,36,36
589,botA,0.287,1.619,1.692,36,36
589,botB,0.313,0.546,0.556,34,36
590,botA,0.277,0.715,1.361,36,36
590,botB,0.371,0.747,1.696,38,36
591,botA,0.252,0.695,1.66,36,36
591,botB,0.303,0.881,1.419,36,36
592,botA,0.224,1.572,1.685,36,36
592,botB,0.294,0.455,0.554,36,36
593,botA,0.276,0.716,1.482,36,36
593,botB,0.364,0.892,1.773,36,36
594,botA,0.265,0.954,1.535,36,36
594,botB,0.287,0.739,1.572,36,36
595,botA,0.261,0.792,1.773,36,36
595,botB,0.26,0.326,0.356,36,36
596,botA,0.239,0.741,1.677,36,36
596,botB,0.283,0.903,1.969,36,36
597,botA,0.257,0.656,1.465,36,34
597,botB,0.327,0.87,1.35,34,36
598,botA,0.277,1.503,1.622,36,38
598,botB,0.306,0.49,0.525,38,36
599,botA,0.275,0.607,0.616,36,36
599,botB,0.374,1.699,1.711,36,36
